n_modules,topology,z_lower,z_upper,universality_bandwidth,universality_fraction,mean_abs_residual
16,ring_lattice,-3.0104713297524874,5.017452216254146,8.027923546006633,0.8024691358024691,0.026921377197906833
16,small_world,-2.987239091953121,3.4716562419995736,6.458895333952695,1.0,0.020865154435514666
16,erdos_renyi,-1.3143225716314266,5.91445157234142,7.228774143972847,0.8271604938271605,0.027072129325040308
16,scale_free,-0.6418469886637832,7.317055670767127,7.95890265943091,0.6790123456790124,0.034658321795619174
16,modular_clustered,-0.5685406320100175,8.528109480150263,9.096650112160281,0.7037037037037037,0.03673009102698775
32,ring_lattice,-3.113812372251019,5.476014861544896,8.589827233795916,1.0,0.0237967764949277
32,small_world,-3.142635309248931,4.040531111891482,7.183166421140413,1.0,0.01845403878075003
32,erdos_renyi,-1.1136223957758873,6.681734374655324,7.795356770431211,0.7530864197530864,0.028889475201948418
32,scale_free,-0.8362808340686223,8.084048062663351,8.920328896731974,0.7037037037037037,0.03068714668807067
32,modular_clustered,-0.4912726447797863,9.989210443855658,10.480483088635443,0.7407407407407407,0.03372314763771413
64,ring_lattice,-3.238102636323894,6.013619181744374,9.251721818068267,1.0,0.020848551652484434
64,small_world,-3.20763511229194,4.124102287232494,7.331737399524434,1.0,0.021211166679764415
64,erdos_renyi,-1.9393846963605048,7.111077219988519,9.050461916349024,0.8024691358024691,0.0247045687680173
64,scale_free,-0.617031174026887,8.94695202338986,9.563983197416746,0.6666666666666666,0.03414682804104385
64,modular_clustered,-0.518428843494984,10.54138648439801,11.059815327892995,0.7037037037037037,0.03442885510083095
128,ring_lattice,-3.4810719321583394,6.464847874008345,9.945919806166684,0.9629629629629629,0.022253611953203477
128,small_world,-3.350014061164422,4.532371965104806,7.882386026269228,1.0,0.01614249959007632
128,erdos_renyi,-1.2807273525140397,7.8266671542524655,9.107394506766505,0.7160493827160493,0.02707139451245367
128,scale_free,-0.9835445737964166,9.671521642331431,10.655066216127848,0.7407407407407407,0.0277665740378232
128,modular_clustered,-0.7525472910001738,11.664483010502702,12.417030301502875,0.7654320987654321,0.030279058878277094
