lambda_1,lambda_2,lambda_mean,lambda_max,spectral_gap_max,spectral_energy,spectral_entropy,family,graph_size,spectral_PC1,spectral_PC2
0.6069589990426807,0.6837167336005681,3.125,7.551872562148157,1.0476873966216464,235.99999999999997,2.4883274988753357,Erdős–Rényi,16,-1.758953648484556,-1.251640185212562
1.4814956185022031e-15,0.5790376550360969,4.3125,9.96547925051876,1.1854920248932963,816.0000000000003,3.250254460116143,Erdős–Rényi,32,-1.4255383939343942,0.12311718121717298
0.2884968926634567,0.39760017222900096,4.25,11.836098545979807,1.6414465362588118,1677.9999999999995,3.923260071645202,Erdős–Rényi,64,-0.8103655701225524,0.7649014344625382
2.5188211008588795e-16,1.4194380572715526e-15,3.875000000000001,12.519606297636837,1.1409061141679437,2872.000000000001,4.597539818536198,Erdős–Rényi,128,-1.1250155376175406,2.033739477202773
0.5610257238759311,2.279064386048654,4.749999999999999,8.640304553709768,1.7180386621727228,455.99999999999983,2.6008891512831656,modular clustered,16,-0.1069851410158324,-2.00646775750513
0.502219473415037,1.023443447097693,5.750000000000002,12.715894730570472,1.936931799587196,1396.0000000000005,3.2840921934604985,modular clustered,32,0.1947793027902831,-0.2710187402166773
0.9990960152214516,2.001560600411149,6.71875,14.651265578378947,1.0024645851896972,3732.000000000001,4.004019276929981,modular clustered,64,1.8987233843944074,0.007775882162055072
1.5240449927403663,1.7287904826562321,7.593749999999999,17.253525584046375,1.5240449927403663,9229.999999999996,4.721535570252895,modular clustered,128,3.8379405261702644,1.4567283094029595
0.7380273726043312,0.7380273726043315,3.999999999999999,6.179580427103275,1.8477590650225717,319.9999999999999,2.5994835114669974,ring lattice,16,-1.1728772351964525,-1.2774275862148425
0.19067037417096494,0.1906703741709672,4.0,6.237939709054831,1.068439961064065,640.0,3.293931164366171,ring lattice,32,-1.8715388481970583,0.18410100902401821
0.048059985849145725,0.048059985849146815,4.000000000000001,6.243508579114017,0.5356076380780537,1280.0000000000005,3.98723934763685,ring lattice,64,-1.935085141131308,1.1444307624763304
0.012039634245260056,0.01203963424526138,4.0,6.249802888503241,0.2684777047398792,2559.9999999999995,4.680406605540625,ring lattice,128,-1.696288995977144,2.0467846287291374
1.0615338989247003,1.214634492668924,3.5000000000000004,10.331146486627132,2.395731759252297,318.0000000000001,2.472904441862382,scale free,16,-0.49361444541514043,-1.9516186459174514
1.5133404489324027,1.7567172965268318,5.437499999999999,18.209689766332552,5.475644187147594,1421.9999999999995,3.2334553275868516,scale free,32,2.396436465108248,-1.7493245519316403
1.3787463725861182,1.5828410147955227,5.71875,23.305261796610615,5.380149889742931,3408.0000000000005,3.8951463787555523,scale free,64,3.0699427562266766,-0.5215730820880945
1.1894383801656556,1.2827060837104274,5.859374999999999,35.26529325461204,7.005748681071566,8253.999999999998,4.537572608677244,scale free,128,4.867197579404184,1.2028574057295744
0.8931190969881102,1.4318658498576857,4.000000000000001,8.20348987679144,1.854440097795223,328.00000000000017,2.597284400305591,small world,16,-0.5643134526926337,-1.7981054378319217
0.8268941202263239,0.9165344467828603,3.999999999999999,8.397612332814886,0.8268941202263229,673.9999999999998,3.2864965908568573,small world,32,-0.8969107231448713,-0.6522686979810922
0.3179317388875616,0.44066452703088116,3.9999999999999996,9.04043879301375,0.8868042003275747,1332.0,3.9845002861031222,small world,64,-1.2509709761216832,0.7246655867450448
0.19434275490910188,0.21979302964624553,4.0,8.736155799244901,0.7795357937385807,2639.999999999999,4.679535610097744,small world,128,-1.1565619050429,1.7903430077478066
