mode,eigenvalue,eigengap
0,0.0,0.0
1,0.04919885176736393,0.04919885176736393
2,0.2737647767543104,0.22456592498694644
3,0.6315939088955529,0.3578291321412425
4,0.6773521807280639,0.04575827183251102
5,1.1889737543446317,0.5116215736165678
6,1.3951060617671696,0.20613230742253785
7,1.698782339382179,0.3036762776150095
8,1.977561426293207,0.27877908691102804
9,2.3603357069476254,0.3827742806544183
10,2.637548610923453,0.27721290397582754
11,3.131633069477485,0.49408445855403205
12,3.2677510993434633,0.13611802986597832
13,3.8840374447404535,0.6162863453969902
14,4.22210968555184,0.3380722408113863
15,4.289961569502346,0.06785188395050579
16,4.786915589893265,0.49695402039091974
17,5.148198515587431,0.36128292569416587
18,5.3573414513194075,0.2091429357319763
19,6.385008929745984,1.0276674784265767
