n_modules,topology,average_degree,degree_variance,clustering,path_length,largest_component_fraction
16,ring_lattice,4.0,0.0,0.5,2.4,1.0
16,small_world,4.0,1.0,0.24375,2.075,1.0
16,erdos_renyi,4.125,2.484375,0.1744047619047619,1.8833333333333333,1.0
16,scale_free,3.5,5.5,0.3717261904761905,1.9333333333333333,1.0
16,modular_clustered,1.875,0.734375,0.0,3.925,1.0
32,ring_lattice,4.0,0.0,0.5,4.387096774193548,1.0
32,small_world,4.0,0.8125,0.2525297619047619,2.7298387096774195,1.0
32,erdos_renyi,3.75,2.625,0.0744047619047619,2.620967741935484,1.0
32,scale_free,3.75,12.4375,0.355189234784823,2.243951612903226,1.0
32,modular_clustered,3.375,2.171875,0.17767857142857144,2.9858870967741935,1.0
64,ring_lattice,4.0,0.0,0.5,8.380952380952381,1.0
64,small_world,4.0,0.625,0.24843749999999998,3.5024801587301586,1.0
64,erdos_renyi,4.75,4.25,0.07028769841269841,2.7996031746031744,1.0
64,scale_free,3.875,16.515625,0.23202481835294336,2.6557539682539684,1.0
64,modular_clustered,5.75,4.375,0.19615237193362192,2.7142857142857144,1.0
128,ring_lattice,4.0,0.0,0.5,16.37795275590551,1.0
128,small_world,4.0,0.984375,0.2751860119047619,4.235359251968504,1.0
128,erdos_renyi,9.609375,8.753662109375,0.07876964615245866,2.3822588582677167,1.0
128,scale_free,3.9375,23.54296875,0.16655302990759976,2.965428149606299,1.0
128,modular_clustered,10.78125,10.1083984375,0.1795209845301757,2.418922244094488,1.0
