family,Erdős–Rényi,modular clustered,ring lattice,scale free,small world
Erdős–Rényi,0.9999999999994788,0.025345033405219392,0.8267772749205167,0.2215950777923418,0.7295354123026411
modular clustered,0.025345033405219392,0.999999999999479,0.17608584258784307,0.6235998460114677,0.22120492614624335
ring lattice,0.8267772749205167,0.17608584258784307,0.999999999999479,0.0,0.9392261508945742
scale free,0.2215950777923418,0.6235998460114677,0.0,0.9999999999994789,0.03042798870261286
small world,0.7295354123026411,0.22120492614624335,0.9392261508945742,0.03042798870261286,0.9999999999994788
