n_modules,topology,link_noise,cgcs,z,shared_profile,collapse_residual,abs_residual
16,ring_lattice,0.0,0.9037653584128861,-3.0104713297524874,0.9530449509609846,-0.04927959254809855,0.04927959254809855
16,ring_lattice,0.005,0.8947113942693489,-2.9101222854274043,0.9483445552781239,-0.05363316100877502,0.05363316100877502
16,ring_lattice,0.01,0.8888260092353352,-2.8097732411023215,0.9432016724214067,-0.054375663186071566,0.054375663186071566
16,ring_lattice,0.015,0.8801078962403416,-2.7094241967772392,0.9375804591805531,-0.057472562940211525,0.057472562940211525
16,ring_lattice,0.02,0.875786487569408,-2.609075152452156,0.931443362192374,-0.05565687462296598,0.05565687462296598
16,ring_lattice,0.025,0.8679964915279837,-2.508726108127073,0.9247512929969981,-0.05675480146901435,0.05675480146901435
16,ring_lattice,0.03,0.8597090588468101,-2.40837706380199,0.9174638700198645,-0.057754811173054366,0.057754811173054366
16,ring_lattice,0.035,0.8517228760596552,-2.308028019476907,0.9095397372338289,-0.05781686117417362,0.05781686117417362
16,ring_lattice,0.04,0.8435562359733648,-2.2076789751518238,0.9009369690905822,-0.057380733117217364,0.057380733117217364
16,ring_lattice,0.045,0.8341399593682907,-2.107329930826741,0.8916135706058088,-0.05747361123751815,0.05747361123751815
16,ring_lattice,0.05,0.8268906543966136,-2.0069808865016583,0.8815280800885675,-0.054637425691953956,0.054637425691953956
16,ring_lattice,0.055,0.8170988695283593,-1.9066318421765756,0.8706402797691921,-0.05354141024083281,0.05354141024083281
16,ring_lattice,0.06,0.8055444416647827,-1.8062827978514926,0.8589120163588325,-0.053367574694049846,0.053367574694049846
16,ring_lattice,0.065,0.7922216910860661,-1.7059337535264094,0.8463081292545702,-0.054086438168504114,0.054086438168504114
16,ring_lattice,0.07,0.7764941783346933,-1.6055847092013265,0.8327974786283037,-0.056303300293610414,0.056303300293610414
16,ring_lattice,0.075,0.7643807200216477,-1.5052356648762437,0.8183540590303954,-0.05397333900874768,0.05397333900874768
16,ring_lattice,0.08,0.7495476900788304,-1.4048866205511608,0.8029581765405279,-0.05341048646169755,0.05341048646169755
16,ring_lattice,0.085,0.7367517077774802,-1.3045375762260778,0.7865976591929271,-0.0498459514154469,0.0498459514154469
16,ring_lattice,0.09,0.7230937880161177,-1.204188531900995,0.7692690618423759,-0.04617527382625819,0.04617527382625819
16,ring_lattice,0.095,0.7098883638196974,-1.1038394875759119,0.7509788184467973,-0.041090454627099815,0.041090454627099815
16,ring_lattice,0.1,0.6881704247534585,-1.003490443250829,0.7317442877070279,-0.043573862953569464,0.043573862953569464
16,ring_lattice,0.105,0.671898356374205,-0.9031413989257463,0.7115946330264137,-0.03969627665220865,0.03969627665220865
16,ring_lattice,0.11,0.6539122353440913,-0.8027923546006632,0.6905714757735067,-0.036659240429415485,0.036659240429415485
16,ring_lattice,0.115,0.6415309965445848,-0.7024433102755803,0.6687292627229572,-0.0271982661783724,0.0271982661783724
16,ring_lattice,0.12,0.6220938450122863,-0.6020942659504975,0.6461352949833379,-0.02404144997105162,0.02404144997105162
16,ring_lattice,0.125,0.6013105491889117,-0.5017452216254145,0.622869377023916,-0.02155882783500429,0.02155882783500429
16,ring_lattice,0.13,0.5750764149828603,-0.4013961773003315,0.5990230604440412,-0.02394664546118086,0.02394664546118086
16,ring_lattice,0.135,0.5636227433233418,-0.3010471329752485,0.5746984771950931,-0.011075733871751314,0.011075733871751314
16,ring_lattice,0.14,0.5390767101013354,-0.20069808865016547,0.5500067798047472,-0.010930069703411815,0.010930069703411815
16,ring_lattice,0.145,0.5161735453313115,-0.10034904432508301,0.5250662300107871,-0.008892684679475571,0.008892684679475571
16,ring_lattice,0.15,0.49987952426416654,0.0,0.5,-0.0001204757358334585,0.0001204757358334585
16,ring_lattice,0.155,0.4764523449560103,0.10034904432508301,0.474933769989213,0.0015185749667973036,0.0015185749667973036
16,ring_lattice,0.16,0.45826575999955454,0.20069808865016603,0.4499932201952528,0.00827253980430176,0.00827253980430176
16,ring_lattice,0.165,0.4349972526285206,0.30104713297524904,0.42530152280490674,0.009695729823613886,0.009695729823613886
16,ring_lattice,0.17,0.41011690443624055,0.40139617730033206,0.4009769395559588,0.009139964880281737,0.009139964880281737
16,ring_lattice,0.17500000000000002,0.3894398277185834,0.501745221625415,0.3771306229760838,0.01230920474249958,0.01230920474249958
16,ring_lattice,0.18,0.36183564820685116,0.6020942659504975,0.353864705016662,0.00797094319018915,0.00797094319018915
16,ring_lattice,0.185,0.3462284416385341,0.7024433102755805,0.3312707372770427,0.014957704361491408,0.014957704361491408
16,ring_lattice,0.19,0.32524539765045807,0.8027923546006636,0.30942852422649325,0.015816873423964817,0.015816873423964817
16,ring_lattice,0.195,0.3019582714873585,0.9031413989257465,0.2884053669735863,0.013552904513772168,0.013552904513772168
16,ring_lattice,0.2,0.2750708754879166,1.0034904432508296,0.26825571229297196,0.006815163194944629,0.006815163194944629
16,ring_lattice,0.20500000000000002,0.2580298594041218,1.1038394875759125,0.24902118155320263,0.009008677850919189,0.009008677850919189
16,ring_lattice,0.21,0.23870772673146592,1.204188531900995,0.23073093815762402,0.007976788573841903,0.007976788573841903
16,ring_lattice,0.215,0.21938680006295586,1.304537576226078,0.21340234080707277,0.00598445925588309,0.00598445925588309
16,ring_lattice,0.22,0.20141566841021438,1.404886620551161,0.19704182345947208,0.004373844950742306,0.004373844950742306
16,ring_lattice,0.225,0.18416187178100132,1.505235664876244,0.1816459409696045,0.0025159308113968104,0.0025159308113968104
16,ring_lattice,0.23,0.1638791861014992,1.6055847092013271,0.16720252137169622,-0.0033233352701970142,0.0033233352701970142
16,ring_lattice,0.23500000000000001,0.14853580401253308,1.70593375352641,0.15369187074542967,-0.0051560667328965915,0.0051560667328965915
16,ring_lattice,0.24,0.12745412766798503,1.8062827978514926,0.14108798364116737,-0.01363385597318234,0.01363385597318234
16,ring_lattice,0.245,0.12386421469185432,1.9066318421765756,0.12935972023080777,-0.005495505538953449,0.005495505538953449
16,ring_lattice,0.25,0.10356656452026357,2.0069808865016583,0.11847191991143247,-0.014905355391168898,0.014905355391168898
16,ring_lattice,0.255,0.08864326222275676,2.1073299308267415,0.10838642939419108,-0.019743167171434317,0.019743167171434317
16,ring_lattice,0.26,0.08275851232535582,2.2076789751518247,0.09906303090941782,-0.016304518584061997,0.016304518584061997
16,ring_lattice,0.265,0.0673376442367744,2.3080280194769074,0.09046026276617103,-0.023122618529396635,0.023122618529396635
16,ring_lattice,0.27,0.05815961206391367,2.4083770638019906,0.08253612998013538,-0.024376517916221703,0.024376517916221703
16,ring_lattice,0.275,0.04304043630573196,2.5087261081270738,0.07524870700300179,-0.03220827069726983,0.03220827069726983
16,ring_lattice,0.28,0.035869259078836944,2.6090751524521565,0.068556637807626,-0.03268737872878905,0.03268737872878905
