local_noise,link_noise,before_cgcs,before_link_consistency,before_global_stability,after_cgcs,after_link_consistency,after_global_stability,projection_gain,projection_rate
0.0,0.44999999999999996,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.44999999999999996,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.44999999999999996,0.75,0.75,1.0,1.0,1.0,1.0,0.25,0.25
0.0,0.44999999999999996,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.44999999999999996,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.44999999999999996,0.7083333333333334,0.7083333333333334,1.0,1.0,1.0,1.0,0.29166666666666663,0.2916666666666667
0.0,0.44999999999999996,0.625,0.625,1.0,1.0,1.0,1.0,0.375,0.375
0.0,0.44999999999999996,0.7916666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,0.20833333333333337,0.20833333333333334
0.0,0.44999999999999996,0.5347222222222222,0.5833333333333334,0.9166666666666666,1.0,1.0,1.0,0.4652777777777778,0.4166666666666667
0.0,0.44999999999999996,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.44999999999999996,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.44999999999999996,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.44999999999999996,0.5208333333333334,0.625,0.8333333333333334,1.0,1.0,1.0,0.47916666666666663,0.375
0.0,0.44999999999999996,0.5729166666666666,0.625,0.9166666666666666,1.0,1.0,1.0,0.42708333333333337,0.375
0.0,0.44999999999999996,0.75,0.75,1.0,1.0,1.0,1.0,0.25,0.25
0.0,0.44999999999999996,0.7916666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,0.20833333333333337,0.20833333333333334
