mode,sample_size,trial,signal_rate,unique_lanes_seen
uniform,10,99,0.1,1
constrained,10,99,1.0,5
uniform,10,100,0.1,1
constrained,10,100,1.0,4
uniform,10,101,0.3,1
constrained,10,101,1.0,6
uniform,10,102,0.2,2
constrained,10,102,1.0,6
uniform,10,103,0.0,0
constrained,10,103,1.0,7
uniform,10,104,0.3,3
constrained,10,104,1.0,6
uniform,10,105,0.3,2
constrained,10,105,1.0,6
uniform,10,106,0.1,1
constrained,10,106,1.0,5
uniform,10,107,0.3,2
constrained,10,107,1.0,6
uniform,10,108,0.5,3
constrained,10,108,1.0,6
uniform,10,109,0.4,4
constrained,10,109,1.0,7
uniform,10,110,0.1,1
constrained,10,110,1.0,7
uniform,10,111,0.4,2
constrained,10,111,1.0,5
uniform,10,112,0.4,3
constrained,10,112,1.0,6
uniform,10,113,0.3,3
constrained,10,113,1.0,4
uniform,10,114,0.3,2
constrained,10,114,1.0,5
uniform,10,115,0.1,1
constrained,10,115,1.0,8
uniform,10,116,0.1,1
constrained,10,116,1.0,7
uniform,10,117,0.4,3
constrained,10,117,1.0,7
uniform,10,118,0.6,5
constrained,10,118,1.0,5
uniform,10,119,0.5,4
constrained,10,119,1.0,8
uniform,10,120,0.1,1
constrained,10,120,1.0,5
uniform,10,121,0.2,1
constrained,10,121,1.0,7
uniform,10,122,0.2,2
constrained,10,122,1.0,6
uniform,10,123,0.3,3
constrained,10,123,1.0,6
uniform,10,124,0.4,3
constrained,10,124,1.0,6
uniform,10,125,0.1,1
constrained,10,125,1.0,8
uniform,10,126,0.2,2
constrained,10,126,1.0,7
uniform,10,127,0.4,4
constrained,10,127,1.0,6
uniform,10,128,0.4,4
constrained,10,128,1.0,5
uniform,10,129,0.1,1
constrained,10,129,1.0,6
uniform,10,130,0.4,3
constrained,10,130,1.0,5
uniform,10,131,0.3,3
constrained,10,131,1.0,8
uniform,10,132,0.3,3
constrained,10,132,1.0,7
uniform,10,133,0.3,2
constrained,10,133,1.0,8
uniform,10,134,0.3,3
constrained,10,134,1.0,4
uniform,10,135,0.2,2
constrained,10,135,1.0,6
uniform,10,136,0.1,1
constrained,10,136,1.0,5
uniform,10,137,0.2,2
constrained,10,137,1.0,6
uniform,10,138,0.2,2
constrained,10,138,1.0,5
uniform,10,139,0.3,3
constrained,10,139,1.0,6
uniform,10,140,0.2,2
constrained,10,140,1.0,6
uniform,10,141,0.0,0
constrained,10,141,1.0,6
uniform,10,142,0.2,2
constrained,10,142,1.0,5
uniform,10,143,0.6,5
constrained,10,143,1.0,7
uniform,10,144,0.3,3
constrained,10,144,1.0,6
uniform,10,145,0.4,4
constrained,10,145,1.0,5
uniform,10,146,0.4,4
constrained,10,146,1.0,6
uniform,10,147,0.2,2
constrained,10,147,1.0,5
uniform,10,148,0.3,3
constrained,10,148,1.0,7
uniform,10,149,0.4,4
constrained,10,149,1.0,6
uniform,10,150,0.2,2
constrained,10,150,1.0,6
uniform,10,151,0.1,1
constrained,10,151,1.0,6
uniform,10,152,0.1,1
constrained,10,152,1.0,6
uniform,10,153,0.4,2
constrained,10,153,1.0,7
uniform,10,154,0.0,0
constrained,10,154,1.0,5
uniform,10,155,0.4,3
constrained,10,155,1.0,5
uniform,10,156,0.1,1
constrained,10,156,1.0,6
uniform,10,157,0.1,1
constrained,10,157,1.0,5
uniform,10,158,0.5,4
constrained,10,158,1.0,7
uniform,10,159,0.1,1
constrained,10,159,1.0,6
uniform,10,160,0.0,0
constrained,10,160,1.0,6
uniform,10,161,0.6,6
constrained,10,161,1.0,7
uniform,10,162,0.2,2
constrained,10,162,1.0,6
uniform,10,163,0.3,2
constrained,10,163,1.0,6
uniform,10,164,0.2,2
constrained,10,164,1.0,7
uniform,10,165,0.3,3
constrained,10,165,1.0,7
uniform,10,166,0.3,3
constrained,10,166,1.0,7
uniform,10,167,0.4,3
constrained,10,167,1.0,5
uniform,10,168,0.3,3
constrained,10,168,1.0,6
uniform,10,169,0.3,3
constrained,10,169,1.0,7
uniform,10,170,0.1,1
constrained,10,170,1.0,6
uniform,10,171,0.2,2
constrained,10,171,1.0,6
uniform,10,172,0.3,3
constrained,10,172,1.0,7
uniform,10,173,0.1,1
constrained,10,173,1.0,6
uniform,10,174,0.1,1
constrained,10,174,1.0,6
uniform,10,175,0.2,2
constrained,10,175,1.0,4
uniform,10,176,0.2,2
constrained,10,176,1.0,7
uniform,10,177,0.4,3
constrained,10,177,1.0,5
uniform,10,178,0.2,2
constrained,10,178,1.0,6
uniform,10,179,0.2,2
constrained,10,179,1.0,6
uniform,10,180,0.5,4
constrained,10,180,1.0,7
uniform,10,181,0.3,3
constrained,10,181,1.0,6
uniform,10,182,0.4,3
constrained,10,182,1.0,6
uniform,10,183,0.2,1
constrained,10,183,1.0,6
uniform,10,184,0.3,3
constrained,10,184,1.0,5
uniform,10,185,0.4,3
constrained,10,185,1.0,6
uniform,10,186,0.5,5
constrained,10,186,1.0,5
uniform,10,187,0.3,3
constrained,10,187,1.0,6
uniform,10,188,0.1,1
constrained,10,188,1.0,5
uniform,10,189,0.2,2
constrained,10,189,1.0,6
uniform,10,190,0.0,0
constrained,10,190,1.0,6
uniform,10,191,0.3,3
constrained,10,191,1.0,6
uniform,10,192,0.0,0
constrained,10,192,1.0,7
uniform,10,193,0.3,3
constrained,10,193,1.0,7
uniform,10,194,0.3,3
constrained,10,194,1.0,5
uniform,10,195,0.1,1
constrained,10,195,1.0,7
uniform,10,196,0.4,4
constrained,10,196,1.0,6
uniform,10,197,0.2,2
constrained,10,197,1.0,5
uniform,10,198,0.3,3
constrained,10,198,1.0,6
uniform,10,199,0.2,2
constrained,10,199,1.0,6
uniform,25,0,0.32,6
constrained,25,0,1.0,7
uniform,25,1,0.12,3
constrained,25,1,1.0,8
uniform,25,2,0.08,2
constrained,25,2,1.0,8
uniform,25,3,0.4,7
constrained,25,3,1.0,8
uniform,25,4,0.2,5
constrained,25,4,1.0,8
uniform,25,5,0.32,4
constrained,25,5,1.0,8
uniform,25,6,0.24,5
constrained,25,6,1.0,8
uniform,25,7,0.24,4
constrained,25,7,1.0,8
uniform,25,8,0.08,2
constrained,25,8,1.0,8
uniform,25,9,0.36,5
constrained,25,9,1.0,7
uniform,25,10,0.2,4
constrained,25,10,1.0,8
uniform,25,11,0.36,6
constrained,25,11,1.0,7
uniform,25,12,0.28,4
constrained,25,12,1.0,8
uniform,25,13,0.08,2
constrained,25,13,1.0,7
uniform,25,14,0.24,4
constrained,25,14,1.0,8
uniform,25,15,0.32,5
constrained,25,15,1.0,8
uniform,25,16,0.2,4
constrained,25,16,1.0,7
uniform,25,17,0.32,4
constrained,25,17,1.0,8
uniform,25,18,0.28,4
constrained,25,18,1.0,8
uniform,25,19,0.28,4
constrained,25,19,1.0,8
uniform,25,20,0.16,3
constrained,25,20,1.0,8
uniform,25,21,0.28,4
constrained,25,21,1.0,7
uniform,25,22,0.4,6
constrained,25,22,1.0,8
uniform,25,23,0.36,5
constrained,25,23,1.0,8
uniform,25,24,0.12,3
constrained,25,24,1.0,7
uniform,25,25,0.32,4
constrained,25,25,1.0,8
uniform,25,26,0.2,5
constrained,25,26,1.0,8
uniform,25,27,0.32,6
constrained,25,27,1.0,8
uniform,25,28,0.32,5
constrained,25,28,1.0,7
uniform,25,29,0.2,3
constrained,25,29,1.0,7
uniform,25,30,0.32,5
constrained,25,30,1.0,8
uniform,25,31,0.2,4
constrained,25,31,1.0,8
uniform,25,32,0.32,6
constrained,25,32,1.0,8
uniform,25,33,0.16,3
constrained,25,33,1.0,7
uniform,25,34,0.32,5
constrained,25,34,1.0,8
uniform,25,35,0.32,5
constrained,25,35,1.0,7
uniform,25,36,0.16,3
constrained,25,36,1.0,8
uniform,25,37,0.4,4
constrained,25,37,1.0,8
uniform,25,38,0.36,7
constrained,25,38,1.0,8
uniform,25,39,0.12,3
constrained,25,39,1.0,7
uniform,25,40,0.16,4
constrained,25,40,1.0,8
uniform,25,41,0.24,4
constrained,25,41,1.0,8
uniform,25,42,0.28,6
constrained,25,42,1.0,8
uniform,25,43,0.2,4
constrained,25,43,1.0,8
uniform,25,44,0.2,4
constrained,25,44,1.0,8
uniform,25,45,0.24,5
constrained,25,45,1.0,8
uniform,25,46,0.32,6
constrained,25,46,1.0,8
uniform,25,47,0.32,5
constrained,25,47,1.0,8
uniform,25,48,0.28,5
constrained,25,48,1.0,8
uniform,25,49,0.28,6
constrained,25,49,1.0,8
uniform,25,50,0.16,3
constrained,25,50,1.0,8
uniform,25,51,0.48,5
constrained,25,51,1.0,8
uniform,25,52,0.16,3
constrained,25,52,1.0,8
uniform,25,53,0.24,5
constrained,25,53,1.0,8
uniform,25,54,0.28,4
constrained,25,54,1.0,8
uniform,25,55,0.32,5
constrained,25,55,1.0,8
uniform,25,56,0.24,3
constrained,25,56,1.0,7
uniform,25,57,0.36,5
constrained,25,57,1.0,8
uniform,25,58,0.28,5
constrained,25,58,1.0,8
uniform,25,59,0.24,4
constrained,25,59,1.0,8
uniform,25,60,0.24,5
constrained,25,60,1.0,8
uniform,25,61,0.52,8
constrained,25,61,1.0,7
uniform,25,62,0.16,4
constrained,25,62,1.0,7
uniform,25,63,0.28,4
constrained,25,63,1.0,8
uniform,25,64,0.24,6
constrained,25,64,1.0,8
uniform,25,65,0.32,4
constrained,25,65,1.0,8
uniform,25,66,0.36,5
constrained,25,66,1.0,6
uniform,25,67,0.32,4
constrained,25,67,1.0,8
uniform,25,68,0.24,5
constrained,25,68,1.0,8
uniform,25,69,0.24,4
constrained,25,69,1.0,8
uniform,25,70,0.28,5
constrained,25,70,1.0,8
uniform,25,71,0.28,5
constrained,25,71,1.0,8
uniform,25,72,0.36,5
constrained,25,72,1.0,8
uniform,25,73,0.12,2
constrained,25,73,1.0,8
uniform,25,74,0.36,5
constrained,25,74,1.0,8
uniform,25,75,0.28,5
constrained,25,75,1.0,8
uniform,25,76,0.24,3
constrained,25,76,1.0,8
uniform,25,77,0.24,5
constrained,25,77,1.0,8
uniform,25,78,0.48,6
constrained,25,78,1.0,8
uniform,25,79,0.16,3
constrained,25,79,1.0,8
uniform,25,80,0.2,5
constrained,25,80,1.0,8
uniform,25,81,0.32,5
constrained,25,81,1.0,8
uniform,25,82,0.32,6
constrained,25,82,1.0,8
uniform,25,83,0.2,4
constrained,25,83,1.0,8
uniform,25,84,0.24,5
constrained,25,84,1.0,7
uniform,25,85,0.16,3
constrained,25,85,1.0,8
uniform,25,86,0.4,6
constrained,25,86,1.0,8
uniform,25,87,0.16,4
constrained,25,87,1.0,8
