method,best_cgcs,mean_cgcs,phase_locked_runs,partial_runs,diluted_runs,total_runs
NMF,0.8181818181966941,0.3730204170910734,0,1,11,12
SAE,0.2904194260609384,0.0533606309815228,0,0,15,15
