method,best_structure_quality,best_coverage,best_lane_mass_ratio,min_reconstruction_mse
NMF,1.0,1.0,1.0,5.384229520566386e-12
SAE,0.021477350732311606,1.0,0.4515572972595691,8.052233170019463e-05
