component,peak_residue,lane_mass_ratio,component_total_mass
0,17,0.9999999999999998,5.299142014420189
1,23,0.9999999999999998,2.39449736617253
2,29,1.0,2.11836097470814
3,19,1.0000000000000002,1.7548089434785101
4,1,1.0,1.295659688581921
5,13,1.0,1.595987334888075
6,7,1.0,1.96321119548831
7,11,1.0,1.1951487606751943
